epoch, val_acc, train_acc, val_mae, val_rmse, train_rmse, lr
   93,   82.45,     94.22,    4.85,    14.41,       5.16, 1.27e-06
   94,   82.85,     93.64,    4.66,    14.32,       4.82, 1.14e-06
   95,   82.65,     94.49,    4.69,    14.25,       4.57, 1.03e-06
   96,   82.8 ,     94.18,    4.69,    14.4 ,       4.87, 9.27e-07
   97,   82.25,     94.29,    4.86,    14.64,       4.91, 8.34e-07
   98,   82.85,     94.95,    4.71,    14.29,       4.93, 7.50e-07
   99,   83.05,     94.79,    4.72,    14.39,       4.94, 6.75e-07
  100,   83.4 ,     94.46,    4.65,    14.24,       4.74, 6.08e-07
  101,   83.0 ,     94.8 ,    4.75,    14.35,       4.71, 5.47e-07
  102,   83.2 ,     94.62,    4.7 ,    14.24,       5.26, 4.92e-07
  103,   82.9 ,     94.9 ,    4.66,    14.14,       4.89, 4.43e-07
  104,   83.1 ,     94.2 ,    4.66,    14.32,       4.6 , 3.99e-07
  105,   83.3 ,     94.42,    4.65,    14.22,       4.89, 3.59e-07
  106,   83.0 ,     94.4 ,    4.75,    14.36,       4.62, 3.23e-07
  107,   83.3 ,     94.51,    4.69,    14.31,       4.74, 2.91e-07
  108,   83.25,     94.75,    4.65,    14.26,       4.4 , 2.62e-07
  109,   83.15,     94.76,    4.65,    14.26,       4.51, 2.36e-07
  110,   83.1 ,     94.45,    4.64,    14.21,       4.95, 2.12e-07
  111,   82.9 ,     92.58,    5.33,    15.25,       6.11, 4.50e-06
  112,   82.6 ,     92.48,    5.1 ,    15.2 ,       6.25, 4.05e-06
  113,   82.0 ,     92.58,    5.05,    14.88,       5.81, 3.65e-06
  114,   83.2 ,     92.89,    4.77,    14.55,       5.67, 3.28e-06
  115,   83.25,     93.3 ,    4.66,    14.74,       6.15, 2.95e-06
  116,   83.3 ,     93.24,    4.87,    14.99,       5.92, 2.66e-06
  117,   83.7 ,     93.69,    4.64,    14.39,       5.88, 2.39e-06
  118,   84.2 ,     93.7 ,    4.68,    14.59,       5.85, 2.15e-06
  119,   83.5 ,     93.95,    4.8 ,    14.83,       5.7 , 1.94e-06
  120,   84.15,     93.42,    4.68,    14.69,       5.52, 1.74e-06
  121,   83.8 ,     93.3 ,    4.77,    14.32,       6.81, 4.50e-06
  122,   84.1 ,     92.94,    4.64,    14.39,       6.58, 4.05e-06
  123,   84.15,     93.46,    4.87,    14.99,       6.17, 3.65e-06
  124,   84.15,     93.26,    4.6 ,    14.28,       6.2 , 3.28e-06
  125,   83.8 ,     94.05,    4.75,    14.5 ,       5.87, 2.95e-06
  126,   84.5 ,     93.41,    4.66,    14.69,       6.14, 2.66e-06
  127,   83.9 ,     93.89,    4.64,    14.05,       5.82, 2.39e-06
  128,   84.35,     93.92,    4.45,    13.91,       5.78, 2.15e-06
  129,   83.6 ,     94.21,    4.55,    14.17,       5.52, 1.94e-06
  130,   84.25,     94.2 ,    4.48,    14.14,       5.12, 1.74e-06
  131,   83.5 ,     93.56,    4.73,    14.39,       5.02, 4.50e-06
  132,   84.0 ,     93.5 ,    4.78,    14.89,       6.06, 4.05e-06
  133,   83.6 ,     93.88,    4.62,    14.51,       5.98, 3.65e-06
  134,   83.75,     93.6 ,    4.63,    14.55,       6.17, 3.28e-06
  135,   84.45,     93.96,    4.52,    14.39,       5.74, 2.95e-06
  136,   84.2 ,     94.5 ,    4.66,    14.8 ,       5.5 , 2.66e-06
  137,   83.55,     94.3 ,    4.67,    14.47,       5.04, 2.39e-06
  138,   83.9 ,     94.32,    4.66,    14.5 ,       5.87, 2.15e-06
  139,   84.35,     94.66,    4.51,    14.65,       4.94, 1.94e-06
  140,   84.6 ,     94.56,    4.48,    14.53,       4.95, 1.74e-06
  141,   84.5 ,     93.89,    4.5 ,    14.4 ,       5.51, 4.50e-06
  142,   83.85,     93.6 ,    4.6 ,    14.2 ,       6.26, 4.05e-06
  143,   84.2 ,     94.06,    4.49,    14.2 ,       4.71, 3.65e-06
  144,   84.45,     94.2 ,    4.54,    14.15,       5.84, 3.28e-06
  145,   84.6 ,     93.8 ,    4.41,    14.14,       4.96, 2.95e-06
  146,   84.2 ,     94.25,    4.59,    14.48,       5.52, 2.66e-06
  147,   84.1 ,     94.21,    4.59,    14.21,       4.83, 2.39e-06
  148,   84.65,     94.79,    4.46,    14.07,       4.81, 2.15e-06
  149,   84.95,     94.79,    4.49,    14.7 ,       5.13, 1.94e-06
  150,   84.75,     94.7 ,    4.51,    14.31,       5.32, 1.74e-06
  151,   85.35,     94.25,    4.57,    15.06,       5.06, 4.50e-06
  152,   84.75,     94.46,    4.53,    14.33,       6.0 , 4.05e-06
  153,   84.25,     94.1 ,    4.64,    14.29,       5.96, 3.65e-06
  154,   85.15,     94.7 ,    4.47,    14.82,       5.13, 3.28e-06
  155,   84.75,     94.88,    4.51,    14.37,       5.49, 2.95e-06
  156,   84.9 ,     94.81,    4.48,    14.59,       4.93, 2.66e-06
  157,   85.5 ,     94.85,    4.36,    14.46,       5.47, 2.39e-06
  158,   85.35,     95.06,    4.48,    14.86,       4.66, 2.15e-06
  159,   84.9 ,     94.99,    4.45,    14.81,       4.97, 1.94e-06
  160,   84.8 ,     95.19,    4.43,    14.5 ,       4.8 , 1.74e-06
  161,   85.1 ,     95.96,    4.6 ,    14.71,       4.62, 4.50e-06
  162,   86.25,     95.58,    4.35,    14.46,       5.48, 4.05e-06
  163,   85.8 ,     95.55,    4.31,    14.29,       4.67, 3.65e-06
  164,   85.65,     95.64,    4.4 ,    14.23,       5.06, 3.28e-06
  165,   86.45,     95.69,    4.31,    14.03,       4.88, 2.95e-06
  166,   85.8 ,     95.65,    4.34,    14.1 ,       4.7 , 2.66e-06
  167,   86.55,     95.69,    4.2 ,    14.05,       4.74, 2.39e-06
  168,   86.3 ,     96.04,    4.26,    14.13,       4.79, 2.15e-06
  169,   85.85,     96.28,    4.38,    14.03,       4.99, 1.94e-06
  170,   85.55,     96.16,    4.39,    13.9 ,       5.02, 1.74e-06
  171,   85.8 ,     96.06,    4.36,    14.24,       4.47, 4.50e-06
  172,   86.35,     95.41,    4.27,    14.13,       4.89, 4.05e-06
  173,   86.3 ,     95.66,    4.45,    13.81,       5.15, 3.65e-06
  174,   86.75,     95.96,    4.27,    14.05,       4.7 , 3.28e-06
  175,   85.5 ,     95.85,    4.51,    14.08,       4.98, 2.95e-06
  176,   86.6 ,     96.28,    4.32,    13.72,       5.42, 2.66e-06
  177,   86.75,     96.58,    4.22,    14.01,       4.45, 2.39e-06
  178,   86.1 ,     96.65,    4.43,    14.27,       5.15, 2.15e-06
  179,   86.6 ,     96.25,    4.27,    13.62,       4.27, 1.94e-06
  180,   87.4 ,     96.29,    4.17,    13.73,       4.47, 1.74e-06
  181,   86.95,     96.29,    4.35,    13.87,       4.99, 4.50e-06
  182,   86.4 ,     96.29,    4.27,    13.61,       4.89, 4.05e-06
  183,   86.8 ,     96.06,    4.28,    13.75,       4.82, 3.65e-06
  184,   86.65,     96.1 ,    4.22,    13.79,       5.18, 3.28e-06
  185,   86.8 ,     96.24,    4.22,    13.59,       5.53, 2.95e-06
  186,   86.25,     96.44,    4.24,    13.71,       4.74, 2.66e-06
  187,   87.25,     96.52,    4.11,    13.54,       4.8 , 2.39e-06
  188,   86.1 ,     96.41,    4.34,    14.08,       5.08, 2.15e-06
  189,   86.7 ,     96.24,    4.24,    14.07,       4.77, 1.94e-06
  190,   87.3 ,     96.43,    4.14,    13.73,       4.27, 1.74e-06
  191,   86.8 ,     96.76,    4.27,    13.71,       4.35, 1.57e-06
  192,   86.4 ,     96.74,    4.28,    13.72,       4.34, 1.41e-06
  193,   86.6 ,     97.01,    4.19,    13.71,       4.66, 1.27e-06
  194,   86.8 ,     97.36,    4.18,    13.78,       4.08, 1.14e-06
  195,   86.5 ,     97.11,    4.22,    13.69,       4.16, 1.03e-06
  196,   86.65,     97.12,    4.18,    13.5 ,       4.61, 9.27e-07
  197,   87.0 ,     97.01,    4.15,    13.65,       4.45, 8.34e-07
  198,   86.65,     97.24,    4.16,    13.68,       4.59, 7.50e-07
  199,   86.55,     97.21,    4.16,    13.61,       4.01, 6.75e-07
  200,   86.75,     96.89,    4.16,    13.66,       4.48, 6.08e-07
  201,   86.05,     96.75,    4.29,    13.22,       4.45, 4.50e-06
  202,   86.65,     96.05,    4.11,    13.6 ,       5.48, 4.05e-06
  203,   87.05,     96.16,    4.21,    13.99,       5.26, 3.65e-06
  204,   85.6 ,     96.36,    4.39,    13.68,       4.3 , 3.28e-06
  205,   86.45,     96.36,    4.13,    13.47,       4.55, 2.95e-06
  206,   86.25,     96.66,    4.37,    13.83,       4.48, 2.66e-06
  207,   86.95,     96.9 ,    4.19,    13.5 ,       4.76, 2.39e-06
  208,   86.75,     96.89,    4.16,    13.38,       5.05, 2.15e-06
  209,   86.6 ,     96.75,    4.21,    13.53,       4.61, 1.94e-06
  210,   86.55,     97.12,    4.18,    13.6 ,       4.31, 1.74e-06
  211,   86.7 ,     97.09,    4.1 ,    13.23,       4.65, 1.57e-06
  212,   86.45,     97.31,    4.16,    13.55,       4.21, 1.41e-06
  213,   86.2 ,     97.19,    4.18,    13.76,       4.76, 1.27e-06
  214,   87.05,     97.01,    4.1 ,    13.78,       4.22, 1.14e-06
  215,   87.25,     97.36,    4.12,    13.62,       4.1 , 1.03e-06
  216,   86.75,     96.94,    4.18,    13.86,       4.87, 9.27e-07
  217,   86.9 ,     97.11,    4.11,    13.88,       4.32, 8.34e-07
  218,   87.1 ,     97.36,    4.12,    13.87,       3.92, 7.50e-07
  219,   86.6 ,     97.38,    4.13,    13.62,       4.3 , 6.75e-07
  220,   86.7 ,     97.45,    4.11,    13.63,       4.54, 6.08e-07
  221,   86.3 ,     96.91,    4.28,    14.03,       3.99, 4.50e-06
  222,   86.95,     96.18,    4.16,    14.03,       4.82, 4.05e-06
  223,   87.15,     96.59,    4.21,    13.73,       4.55, 3.65e-06
  224,   86.85,     96.64,    4.14,    13.64,       5.02, 3.28e-06
  225,   86.75,     96.81,    4.07,    13.48,       4.94, 2.95e-06
  226,   86.65,     96.98,    4.03,    13.45,       4.68, 2.66e-06
  227,   87.6 ,     96.98,    4.02,    13.28,       4.37, 2.39e-06
  228,   87.35,     97.28,    4.06,    13.5 ,       4.02, 2.15e-06
  229,   86.7 ,     96.86,    4.22,    13.82,       4.39, 1.94e-06
  230,   87.2 ,     96.96,    4.03,    13.23,       4.84, 1.74e-06
  231,   86.95,     97.05,    4.14,    13.28,       4.0 , 4.50e-06
  232,   87.1 ,     97.22,    4.17,    13.47,       3.88, 4.05e-06
  233,   87.25,     96.7 ,    4.04,    13.33,       5.48, 3.65e-06
  234,   87.15,     96.95,    4.24,    13.6 ,       4.35, 3.28e-06
  235,   87.55,     97.02,    4.06,    13.77,       5.69, 2.95e-06
  236,   87.5 ,     97.45,    4.12,    13.97,       4.19, 2.66e-06
  237,   87.55,     97.09,    4.05,    13.72,       4.45, 2.39e-06
  238,   86.85,     97.11,    4.17,    13.94,       4.28, 2.15e-06
  239,   87.25,     97.51,    4.08,    13.45,       4.29, 1.94e-06
  240,   87.8 ,     97.46,    4.1 ,    13.55,       4.77, 1.74e-06
  241,   87.8 ,     96.96,    4.09,    13.5 ,       4.17, 4.75e-06
  242,   87.25,     97.05,    4.07,    13.73,       4.57, 4.51e-06
  243,   86.9 ,     97.14,    4.36,    14.28,       5.0 , 4.29e-06
  244,   87.85,     96.88,    3.97,    13.56,       4.62, 4.07e-06
  245,   84.6 ,     96.58,    4.85,    14.66,       9.94, 3.87e-06
  246,   86.15,     96.32,    4.25,    13.91,       4.67, 3.68e-06
  247,   87.85,     97.01,    4.01,    13.69,       5.31, 3.49e-06
  248,   88.05,     97.22,    3.95,    13.46,       4.52, 3.32e-06
  249,   87.8 ,     97.22,    4.05,    13.65,       4.24, 3.15e-06
  250,   88.2 ,     97.06,    3.97,    14.03,       4.14, 2.99e-06
  251,   88.5 ,     97.46,    3.96,    13.51,       4.35, 2.84e-06
  252,   87.6 ,     97.52,    4.03,    13.65,       3.96, 2.70e-06
  253,   87.75,     97.3 ,    4.02,    13.62,       4.33, 2.57e-06
  254,   87.65,     97.2 ,    3.9 ,    13.16,       4.05, 2.44e-06
  255,   87.8 ,     97.55,    4.02,    13.66,       4.01, 2.32e-06
  256,   88.2 ,     97.2 ,    3.9 ,    13.42,       4.33, 2.20e-06
  257,   87.1 ,     97.79,    4.12,    13.54,       4.21, 2.09e-06
  258,   87.65,     97.32,    4.02,    13.33,       4.07, 1.99e-06
  259,   87.6 ,     97.58,    4.0 ,    13.46,       4.17, 1.89e-06
  260,   87.85,     97.62,    4.0 ,    13.59,       4.37, 1.79e-06
  261,   87.6 ,     97.04,    4.12,    13.89,       4.46, 4.75e-06
  262,   88.0 ,     97.12,    4.07,    13.65,       4.18, 4.51e-06
  263,   87.95,     96.82,    4.08,    13.54,       4.75, 4.29e-06
  264,   86.85,     96.78,    4.17,    13.06,       4.64, 4.07e-06
  265,   87.3 ,     96.95,    4.12,    13.73,       4.59, 3.87e-06
  266,   86.85,     97.21,    4.13,    13.79,       4.39, 3.68e-06
  267,   87.65,     97.08,    4.03,    13.17,       4.28, 3.49e-06
  268,   87.65,     97.36,    3.94,    13.26,       4.34, 3.32e-06
  269,   87.4 ,     97.31,    4.03,    13.42,       4.46, 3.15e-06
  270,   87.3 ,     97.08,    3.98,    13.33,       4.69, 2.99e-06
  271,   87.3 ,     97.31,    3.97,    13.18,       4.32, 2.84e-06
  272,   87.75,     97.62,    3.99,    13.35,       3.88, 2.70e-06
  273,   88.35,     97.52,    3.88,    12.98,       4.16, 2.57e-06
  274,   87.8 ,     97.39,    3.93,    12.88,       4.37, 2.44e-06
  275,   87.35,     97.55,    4.01,    13.3 ,       4.97, 2.32e-06
  276,   87.65,     97.19,    3.97,    13.38,       4.02, 2.20e-06
  277,   87.75,     97.71,    4.0 ,    13.38,       3.98, 2.09e-06
  278,   87.9 ,     97.68,    4.0 ,    13.83,       4.19, 1.99e-06
  279,   87.7 ,     97.84,    4.01,    13.42,       4.21, 1.89e-06
  280,   87.6 ,     97.79,    4.01,    13.31,       3.93, 1.79e-06
